epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,47.01295852661133,,,
0,9,,,41.903892517089844,,,
0,14,,,43.09245300292969,,,
0,19,,,42.364112854003906,,,
0,24,,,42.06202697753906,,,
0,29,,,45.47037124633789,,,
0,34,,,43.46672058105469,,,
0,39,,,43.207794189453125,,,
0,44,,,40.43177032470703,,,
0,49,,,40.614898681640625,,,
0,54,,,44.119075775146484,,,
0,59,,,43.6715087890625,,,
0,64,,,43.591224670410156,,,
0,69,,,42.56785202026367,,,
0,74,,,41.28857421875,,,
0,76,,,,,43.68867874145508,43.68867874145508
0,76,,43.62324905395508,,43.62324905395508,,
1,79,,,41.5513916015625,,,
1,84,,,46.4199333190918,,,
1,89,,,45.101417541503906,,,
1,94,,,43.74662399291992,,,
1,99,,,42.79713439941406,,,
1,104,,,44.19047546386719,,,
1,109,,,40.935428619384766,,,
1,114,,,44.087127685546875,,,
1,119,,,45.02947235107422,,,
1,124,,,42.49300765991211,,,
1,129,,,41.33060073852539,,,
1,134,,,42.499061584472656,,,
1,139,,,43.27971649169922,,,
1,144,,,40.59407043457031,,,
1,149,,,42.15957260131836,,,
1,153,,,,,43.25737380981445,43.25737380981445
1,153,,43.30211639404297,,43.30211639404297,,
2,154,,,42.05525207519531,,,
2,159,,,40.09716796875,,,
2,164,,,43.37516784667969,,,
2,169,,,44.37403106689453,,,
2,174,,,44.036983489990234,,,
2,179,,,48.785980224609375,,,
2,184,,,41.831947326660156,,,
2,189,,,43.82692337036133,,,
2,194,,,40.88422775268555,,,
2,199,,,43.37770462036133,,,
2,204,,,39.068458557128906,,,
2,209,,,47.69347381591797,,,
2,214,,,43.546714782714844,,,
2,219,,,44.46294403076172,,,
2,224,,,41.3985595703125,,,
2,229,,,42.963356018066406,,,
2,230,,,,,42.78139877319336,42.78139877319336
2,230,,42.941429138183594,,42.941429138183594,,
3,234,,,42.256195068359375,,,
3,239,,,41.9745979309082,,,
3,244,,,43.9567756652832,,,
3,249,,,41.698577880859375,,,
3,254,,,43.10884094238281,,,
3,259,,,43.13066864013672,,,
3,264,,,42.8854866027832,,,
3,269,,,41.7399787902832,,,
3,274,,,43.16952133178711,,,
3,279,,,44.36381149291992,,,
3,284,,,39.9034423828125,,,
3,289,,,38.65840530395508,,,
3,294,,,45.01316452026367,,,
3,299,,,39.83290100097656,,,
3,304,,,42.275733947753906,,,
3,307,,,,,42.07956314086914,42.07956314086914
3,307,,42.6086311340332,,42.6086311340332,,
4,309,,,45.127952575683594,,,
4,314,,,38.51896667480469,,,
4,319,,,46.48284149169922,,,
4,324,,,41.51160430908203,,,
4,329,,,40.57075500488281,,,
4,334,,,41.45252227783203,,,
4,339,,,40.04941940307617,,,
4,344,,,46.79302978515625,,,
4,349,,,40.62964630126953,,,
4,354,,,39.74726104736328,,,
4,359,,,43.47936248779297,,,
4,364,,,46.11382293701172,,,
4,369,,,38.69208908081055,,,
4,374,,,40.41215515136719,,,
4,379,,,45.65037536621094,,,
4,384,,,40.98387145996094,,,
4,384,,,,,41.36412811279297,41.36412811279297
4,384,,42.1978759765625,,42.1978759765625,,
5,389,,,44.86293029785156,,,
5,394,,,39.93889236450195,,,
5,399,,,39.16551208496094,,,
5,404,,,42.995018005371094,,,
5,409,,,42.05119323730469,,,
5,414,,,39.738182067871094,,,
5,419,,,42.71270751953125,,,
5,424,,,37.07890319824219,,,
5,429,,,40.72438430786133,,,
5,434,,,42.381221771240234,,,
5,439,,,44.06997299194336,,,
5,444,,,39.90354537963867,,,
5,449,,,42.68896484375,,,
5,454,,,39.763755798339844,,,
5,459,,,42.16693115234375,,,
5,461,,,,,40.72035217285156,40.72035217285156
5,461,,41.66579818725586,,41.66579818725586,,
6,464,,,42.30535125732422,,,
6,469,,,40.85505676269531,,,
6,474,,,45.08429718017578,,,
6,479,,,41.67961120605469,,,
6,484,,,44.31145477294922,,,
6,489,,,38.62999725341797,,,
6,494,,,40.210506439208984,,,
6,499,,,38.05039596557617,,,
6,504,,,42.2123908996582,,,
6,509,,,42.69837951660156,,,
6,514,,,43.64552307128906,,,
6,519,,,40.188758850097656,,,
6,524,,,42.07755661010742,,,
6,529,,,42.502845764160156,,,
