epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,45.43004608154297,,,
0,9,,,37.343360900878906,,,
0,10,,,,,43.86036682128906,44.36036682128906
0,10,,41.681884765625,,42.181884765625,,
1,14,,,41.087982177734375,,,
1,19,,,40.99671936035156,,,
1,21,,,,,43.81626892089844,44.31626892089844
1,21,,40.85283660888672,,41.35283660888672,,
2,24,,,30.688980102539062,,,
2,29,,,36.00675964355469,,,
2,32,,,,,43.763282775878906,44.263282775878906
2,32,,41.17696762084961,,41.67696762084961,,
3,34,,,39.61973571777344,,,
3,39,,,39.6517333984375,,,
3,43,,,,,43.69647216796875,44.19647216796875
3,43,,41.223201751708984,,41.723201751708984,,
4,44,,,34.92173767089844,,,
4,49,,,45.87327575683594,,,
4,54,,,38.03269958496094,,,
4,54,,,,,43.608665466308594,44.108665466308594
4,54,,40.860557556152344,,41.360557556152344,,
5,59,,,45.468170166015625,,,
5,64,,,40.58990478515625,,,
5,65,,,,,43.490970611572266,43.990970611572266
5,65,,40.97867202758789,,41.47867202758789,,
6,69,,,42.03123474121094,,,
6,74,,,33.24774169921875,,,
6,76,,,,,43.33259582519531,43.83259582519531
6,76,,40.306949615478516,,40.806949615478516,,
7,79,,,40.54833984375,,,
7,84,,,41.4302978515625,,,
7,87,,,,,43.124629974365234,43.624629974365234
7,87,,40.22162628173828,,40.72162628173828,,
8,89,,,45.253143310546875,,,
8,94,,,44.24749755859375,,,
8,98,,,,,42.85682678222656,43.35682678222656
8,98,,40.82817459106445,,41.32817459106445,,
9,99,,,35.70166015625,,,
9,104,,,40.1376953125,,,
9,109,,,41.35211181640625,,,
9,109,,,,,42.50911331176758,43.00911331176758
9,109,,40.616424560546875,,41.116424560546875,,
10,114,,,42.8560791015625,,,
10,119,,,48.66015625,,,
10,120,,,,,42.11248016357422,42.61248016357422
10,120,,40.03403091430664,,40.53403091430664,,
11,124,,,46.979736328125,,,
11,129,,,37.5325927734375,,,
11,131,,,,,41.56284713745117,42.06284713745117
11,131,,39.201820373535156,,39.701820373535156,,
12,134,,,35.8961181640625,,,
12,139,,,45.71087646484375,,,
12,142,,,,,40.87838363647461,41.37838363647461
12,142,,38.423683166503906,,38.923683166503906,,
13,144,,,42.9232177734375,,,
13,149,,,36.8072509765625,,,
13,153,,,,,40.02973175048828,40.52973175048828
13,153,,38.24269104003906,,38.74269104003906,,
14,154,,,36.7872314453125,,,
14,159,,,32.173095703125,,,
14,164,,,37.6802978515625,,,
14,164,,,,,38.98480987548828,39.48480987548828
14,164,,37.23666000366211,,37.73666000366211,,
15,169,,,42.1085205078125,,,
15,174,,,33.406982421875,,,
15,175,,,,,37.84605026245117,38.34605026245117
15,175,,35.3768424987793,,35.8768424987793,,
16,179,,,40.0909423828125,,,
16,184,,,33.7816162109375,,,
16,186,,,,,36.33153533935547,36.82604217529297
16,186,,34.62398910522461,,35.12398910522461,,
17,189,,,33.650634765625,,,
17,194,,,34.436279296875,,,
17,197,,,,,34.627906799316406,35.11701202392578
17,197,,32.92387390136719,,33.418968200683594,,
18,199,,,23.980224609375,,,
18,204,,,20.642578125,,,
18,208,,,,,32.83869934082031,33.33732604980469
18,208,,30.648303985595703,,31.148303985595703,,
19,209,,,21.9063720703125,,,
19,214,,,22.319368362426758,,,
19,219,,,22.10126495361328,,,
19,219,,,,,31.103742599487305,31.60364532470703
19,219,,28.50886344909668,,29.00341796875,,
20,224,,,21.81800079345703,,,
20,229,,,32.40625,,,
20,230,,,,,29.18039321899414,29.67361068725586
20,230,,26.4323673248291,,26.93010902404785,,
21,234,,,25.4091796875,,,
21,239,,,27.1220703125,,,
21,241,,,,,27.21127700805664,27.69930648803711
21,241,,25.296411514282227,,25.794477462768555,,
22,244,,,20.15436553955078,,,
22,249,,,24.8848876953125,,,
22,252,,,,,25.52690887451172,26.02690887451172
22,252,,23.357805252075195,,23.85205078125,,
23,254,,,21.95362091064453,,,
23,259,,,18.87702178955078,,,
23,263,,,,,23.8050594329834,24.302778244018555
23,263,,21.131305694580078,,21.631258010864258,,
24,264,,,20.4423828125,,,
24,269,,,14.793975830078125,,,
24,274,,,18.981231689453125,,,
24,274,,,,,22.0690975189209,22.5690975189209
24,274,,19.181360244750977,,19.679155349731445,,
25,279,,,14.24609375,,,
25,284,,,14.683624267578125,,,
25,285,,,,,20.404129028320312,20.895139694213867
25,285,,17.52526092529297,,18.024147033691406,,
26,289,,,22.39892578125,,,
26,294,,,17.24432373046875,,,
26,296,,,,,19.015649795532227,19.505556106567383
26,296,,15.485424041748047,,15.971546173095703,,
27,299,,,17.443359375,,,
27,304,,,14.0595703125,,,
27,307,,,,,17.90420913696289,18.403125762939453
27,307,,14.981764793395996,,15.473987579345703,,
28,309,,,16.7442626953125,,,
28,314,,,13.1279296875,,,
28,318,,,,,17.163562774658203,17.660417556762695
28,318,,14.323697090148926,,14.8134765625,,
29,319,,,14.076171875,,,
29,324,,,12.468696594238281,,,
29,329,,,20.703155517578125,,,
29,329,,,,,16.528308868408203,17.01354217529297
29,329,,13.318360328674316,,13.811789512634277,,
30,334,,,10.23388671875,,,
30,339,,,15.107452392578125,,,
30,340,,,,,15.992143630981445,16.48645782470703
30,340,,12.569624900817871,,13.063610076904297,,
31,344,,,8.4814453125,,,
31,349,,,14.744659423828125,,,
31,351,,,,,15.50731372833252,15.983680725097656
31,351,,12.063729286193848,,12.551314353942871,,
32,354,,,13.094879150390625,,,
32,359,,,10.462921142578125,,,
32,362,,,,,15.118424415588379,15.598958015441895
32,362,,12.474857330322266,,12.963245391845703,,
33,364,,,11.576446533203125,,,
33,369,,,10.455078125,,,
33,373,,,,,14.781089782714844,15.256597518920898
33,373,,11.838540077209473,,12.327503204345703,,
34,374,,,7.831123352050781,,,
34,379,,,13.185546875,,,
34,384,,,15.680206298828125,,,
34,384,,,,,14.498817443847656,14.974653244018555
34,384,,11.844590187072754,,12.331809043884277,,
35,389,,,15.077308654785156,,,
35,394,,,9.32830810546875,,,
35,395,,,,,14.25587272644043,14.740278244018555
35,395,,11.048064231872559,,11.527609825134277,,
36,399,,,8.725105285644531,,,
36,404,,,7.223876953125,,,
36,406,,,,,14.047754287719727,14.543055534362793
36,406,,10.484946250915527,,10.973499298095703,,
37,409,,,12.85302734375,,,
37,414,,,9.159187316894531,,,
37,417,,,,,13.856358528137207,14.3515625
37,417,,10.630324363708496,,11.113147735595703,,
38,419,,,15.325569152832031,,,
38,424,,,11.9366455078125,,,
38,428,,,,,13.64367389678955,14.12829875946045
38,428,,11.11373519897461,,11.602494239807129,,
39,429,,,13.9146728515625,,,
39,434,,,8.667335510253906,,,
39,439,,,12.300323486328125,,,
39,439,,,,,13.492363929748535,13.987500190734863
