epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,43.678955078125,,,
0,9,,,42.584774017333984,,,
0,14,,,43.1960563659668,,,
0,19,,,38.262630462646484,,,
0,24,,,41.78927993774414,,,
0,29,,,42.091400146484375,,,
0,34,,,44.165924072265625,,,
0,39,,,41.81642150878906,,,
0,44,,,46.221923828125,,,
0,49,,,42.95695495605469,,,
0,54,,,41.404029846191406,,,
0,59,,,40.175445556640625,,,
0,64,,,44.63719177246094,,,
0,69,,,39.23040771484375,,,
0,74,,,38.375816345214844,,,
0,76,,,,,41.850860595703125,42.350860595703125
0,76,,42.20616912841797,,42.70616912841797,,
1,79,,,40.66993713378906,,,
1,84,,,41.764251708984375,,,
1,89,,,41.7449836730957,,,
1,94,,,42.39295196533203,,,
1,99,,,39.331642150878906,,,
1,104,,,41.66661071777344,,,
1,109,,,37.41152572631836,,,
1,114,,,44.070980072021484,,,
1,119,,,40.17282485961914,,,
1,124,,,42.864288330078125,,,
1,129,,,38.94578170776367,,,
1,134,,,40.568504333496094,,,
1,139,,,41.583885192871094,,,
1,144,,,40.39038848876953,,,
1,149,,,43.12635040283203,,,
1,153,,,,,40.4531364440918,40.9531364440918
1,153,,40.83208465576172,,41.33208465576172,,
2,154,,,43.460350036621094,,,
2,159,,,38.475860595703125,,,
2,164,,,37.22191619873047,,,
2,169,,,39.74977111816406,,,
2,174,,,42.94762420654297,,,
2,179,,,42.12208938598633,,,
2,184,,,40.38031768798828,,,
2,189,,,40.273109436035156,,,
2,194,,,39.00077819824219,,,
2,199,,,44.69480895996094,,,
2,204,,,41.64569091796875,,,
2,209,,,36.17140197753906,,,
2,214,,,37.89691925048828,,,
2,219,,,40.70408248901367,,,
2,224,,,39.75231170654297,,,
2,229,,,40.11334228515625,,,
2,230,,,,,39.06254577636719,39.56254577636719
2,230,,39.430233001708984,,39.930233001708984,,
3,234,,,37.346412658691406,,,
3,239,,,38.00824737548828,,,
3,244,,,36.88862609863281,,,
3,249,,,43.850372314453125,,,
3,254,,,43.32592010498047,,,
3,259,,,38.244285583496094,,,
3,264,,,39.79568862915039,,,
3,269,,,39.76557159423828,,,
3,274,,,33.47236633300781,,,
3,279,,,37.23314666748047,,,
3,284,,,37.47569274902344,,,
3,289,,,38.91156768798828,,,
3,294,,,39.05521774291992,,,
3,299,,,38.156028747558594,,,
3,304,,,37.96852111816406,,,
3,307,,,,,37.65813064575195,38.15813064575195
3,307,,37.95307540893555,,38.453060150146484,,
4,309,,,39.35130310058594,,,
4,314,,,37.909461975097656,,,
4,319,,,37.25391387939453,,,
4,324,,,37.18317413330078,,,
4,329,,,35.99132537841797,,,
4,334,,,38.075557708740234,,,
4,339,,,35.194793701171875,,,
4,344,,,36.333038330078125,,,
4,349,,,37.46370315551758,,,
4,354,,,35.179256439208984,,,
4,359,,,34.9256591796875,,,
4,364,,,33.87542724609375,,,
4,369,,,31.865713119506836,,,
4,374,,,35.931251525878906,,,
4,379,,,40.52549743652344,,,
4,384,,,37.465240478515625,,,
4,384,,,,,36.20048522949219,36.70033645629883
4,384,,36.52511215209961,,37.025054931640625,,
5,389,,,33.49591064453125,,,
5,394,,,34.65105438232422,,,
5,399,,,35.33773422241211,,,
5,404,,,38.852699279785156,,,
5,409,,,37.50990295410156,,,
5,414,,,33.7803955078125,,,
5,419,,,34.66199493408203,,,
5,424,,,37.156219482421875,,,
5,429,,,34.18824768066406,,,
5,434,,,34.46403503417969,,,
5,439,,,34.57259750366211,,,
5,444,,,34.967735290527344,,,
5,449,,,35.80329132080078,,,
5,454,,,35.62742614746094,,,
5,459,,,38.733036041259766,,,
5,461,,,,,34.8631591796875,35.36235046386719
5,461,,35.118377685546875,,35.61789321899414,,
6,464,,,33.8527717590332,,,
6,469,,,33.61614227294922,,,
6,474,,,34.96855926513672,,,
6,479,,,34.06818771362305,,,
6,484,,,31.852266311645508,,,
6,489,,,33.531898498535156,,,
6,494,,,30.9581298828125,,,
6,499,,,35.63286590576172,,,
6,504,,,36.396240234375,,,
6,509,,,35.12884521484375,,,
6,514,,,32.17642593383789,,,
6,519,,,32.33540344238281,,,
6,524,,,31.790733337402344,,,
6,529,,,36.274803161621094,,,
6,534,,,36.84840393066406,,,
6,538,,,,,33.61085510253906,34.10984420776367
6,538,,33.69611740112305,,34.19496154785156,,
7,539,,,33.60432815551758,,,
7,544,,,34.49705505371094,,,
7,549,,,30.049720764160156,,,
